売上日,品番,商品名,数量,売上単価,仕入単価,粗利,受注番号
2023/5/18 18:00,,送料,1,600,,,77904
2023/5/18 18:00,,ポイント,1,-3537,,,77904
2023/5/18 18:00,532737,【ゴールデンセール】【熱対策】DEI■ヒートシールドライナー（エキパイの裏に貼る断熱パーツ）【17〜20年バンスパワーデュアル装着のツーリング用】,1,4000,0,100,77904
2023/5/18 18:00,PV-PM2050,パインバレーオリジナル■【ハーレー専用】100%化学合成プラチナ・プライマリーオイル [PV-PM2050]プラチナオイル,1,2630,784,70,77904
2023/5/18 18:00,PV-G80140,パインバレーオリジナル■【ハーレー専用】プラチナ・ギアオイル（トランスミッション用） [PV-G80140]プラチナオイル,1,4370,1509,65,77904
2023/5/18 18:00,,送料,1,600,,,77905
2023/5/18 18:00,022-0326-DL-JP,バッテリーテンダー■800mA防水型 デュアルモード（ハーレー純正[66000185]同一品） [022-0326-DL-JP],1,9580,6160,36,77905
2023/5/18 18:00,94647-98,ハーレー純正■ジフィースタンドコースター サイドスタンド装着車 [94647-98],1,1070,876,18,77905
2023/5/18 18:00,,ポイント,1,-290,,,410178-20230517-0020723929
2023/5/18 18:00,PV-SP01C,【ゴールデンセール】パインバレーオリジナル■ ハーレー シフトペグ (クロームメッキ),1,8470,2998,65,410178-20230517-0020723929
2023/5/18 18:00,52200003,【ハーレー純正】ヘルメット盗難防止 ヘルメットロック ブラック Harley Davidson Helmet Lock Black,1,5820,3474,40,410178-20230517-0020723929
2023/5/18 18:00,,送料,1,164,,,77922
2023/5/18 18:00,70417-04E,ハーレー純正■スポーツスター用サイドカバーマウントキット 04年以降XL用 [70417-04E],1,2670,1516,43,77922
2023/5/18 18:00,,送料,1,600,,,76030
2023/5/18 18:00,,ポイント,1,-881,,,76030
2023/5/18 18:00,3301-4701,スラッシンサプライ■ ウインドブレーカー ステルスグローブ ブラック,1,7040,,,76030
2023/5/18 18:00,HDHU14,"【ゴールデンセール】LBPS■ストリームサウンドリザーブ HDHU14+ Apple Car play ,Android Auto対応 マリン防水仕様 【14-21年 ツーリング用】",1,120000,150260,-25,77925
2023/5/18 18:00,,送料,1,600,,,77923
2023/5/18 18:00,Lid-2003-B,Lidlox■スマートヘルメットロック　リッドロックス 04年以降スポーツスター用（6mmボルト3種付属/国産車にも使用可）ユニバーサルヘルメットロック/マットブラック [Lid-2003-B],1,8800,4171,53,77923
2023/5/18 18:00,,送料,1,900,,,77918
2023/5/18 18:00,,ポイント,1,-352,,,77918
2023/5/18 18:00,OBSTR-PAD-PB-M,オーシャンビートル■BEETLE STR 専用インナー ペイズリー / ブラック,1,6050,4054,33,77918
2023/5/18 18:00,OBSHORTY4-BK-WCC-XXL,"オーシャンビートル ショーティー4 ヘルメット ブラック OCEANBEETLE SHORTY (ブラックヘルメット ホワイトチンカップ, XXL)",1,39600,21963,45,250-4964660-2800655
2023/5/18 18:00,,ポイント,1,-2170,,,410178-20230517-0081323959
